Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1986-12-17,143.0449982,143.0449982,144.4949951,142.9149933,144.4900055,254800000
1986-12-18,142.8549957,142.8549957,143.4900055,142.5350037,143.0449982,266000000
1986-12-19,143.7700043,143.7700043,144.0749969,142.8249969,142.8549957,258000000
1986-12-22,144.0850067,144.0850067,144.3899994,143.2350006,143.7700043,239600000
1986-12-23,142.8049927,142.8049927,144.2449951,142.3999939,144.0850067,296200000
1986-12-24,142.7949982,142.7949982,143.1600037,142.3249969,142.8049927,164240000
1986-12-26,142.9349976,142.9349976,143.0800018,142.5,142.7949982,88080000
1986-12-29,141.5149994,141.5149994,143.0350037,141.375,142.9349976,204000000
1986-12-30,141.5249939,141.5249939,141.7949982,140.9450073,141.5149994,252800000
1986-12-31,141.4049988,141.4049988,142.125,141.0449982,141.5249939,281400000
1987-01-02,142.8600006,142.8600006,143.0099945,141.4049988,141.4049988,126440000
1987-01-05,147.4049988,147.4049988,147.6399994,142.8600006,142.8600006,221200000
1987-01-06,149.0599976,149.0599976,149.0800018,147.4049988,147.4049988,275800000
1987-01-07,152.9750061,152.9750061,153.0850067,149.0599976,149.0599976,309000000
1987-01-08,155.6900024,155.6900024,155.6950073,152.9750061,152.9750061,315800000
1987-01-09,156.9900055,156.9900055,157.3849945,155.1100006,155.6900024,287600000
1987-01-12,159.3049927,159.3049927,159.4299927,156.6000061,156.9900055,305800000
1987-01-13,159.6199951,159.6199951,159.8450012,158.375,159.3049927,286800000
1987-01-14,162.6600037,162.6600037,162.6699982,159.6199951,159.6199951,344800000
1987-01-15,164.1450043,164.1450043,165.0500031,162.6600037,162.6600037,379000000
1987-01-16,162.5149994,162.5149994,164.1699982,161.6349945,164.1450043,312400000
1987-01-19,166.4550018,166.4550018,166.4550018,161.7149963,162.5149994,268000000
1987-01-20,166.5200043,166.5200043,168.3500061,166.0200043,166.4550018,365600000
1987-01-21,164.2599945,164.2599945,166.5200043,164.1399994,166.5200043,313000000
1987-01-22,167.9450073,167.9450073,168.0050049,163.4450073,164.2599945,325200000
1987-01-23,166.7649994,166.7649994,170.2749939,166.625,167.9450073,523800000
1987-01-26,164.1399994,164.1399994,166.7649994,163.8800049,166.7649994,231400000
1987-01-27,166.6549988,166.6549988,167.3249969,164.0749969,164.1399994,261800000
